license_number,car_color
NI13ARV,white
NA13NRU,blue
HA13HRI,green
HA13NPV,white
KU13NRV,blue
HA13NRU,white
HA13MRU,white
LI51VSU,green
HA13NRV,white
NA13NRU,white
NX13MRU,white
HA13MRU,white
MA13MRU,white
HA13NRU,white
MA13NRU,white
NA13HRU,white
LL51FSU,navy
LU51CTC,navy
MA13NRU,blue
NA13NRV,white
DI51CSO,navy
LO51YSU,navy
LI51YSU,navy
CT15CGJ,white
SJ15DGJ,white
SA15CCJ,white
GX15QGJ,white
GX15OGJ,white
MT51TSV,navy
LZ15OCJ,white
GX15OCJ,white
CX15OGJ,white
GX15OGJ,white
CI15UGJ,red
GX15OGJ,white
GX15OCJ,white
LI15OGJ,black
GJ15OGJ,white
GY15OCJ,white
CX15OCJ,white
CX15OCJ,white
SX15OCJ,grey
CY15OCJ,white
CY15OGJ,white
GY15OCJ,white
GY15NCJ,white
GR15OCJ,white
GY15CGJ,white
GX15OCJ,white
GX15OCJ,red
GY15ICJ,white
CX15OGJ,white
CX15OCJ,white
GX15OGJ,white
GX15OGJ,white
LP05JEQ,white
JF05JEO,white
LX15OCJ,white
GX15OGJ,white
GY15OCJ,white
GY15OCJ,white
LP05JFO,white
KH45ZAX,white
AP05JED,white
CX15OCJ,white
GX15OGJ,white
GI15OGJ,white
LH13VCY,white
LP05JED,white
LH13YCY,white
AP05JEO,white
LH13VCY,white
AP05JEO,white
KH05ZIY,white
AP15JED,white
AP05JED,white
KP05JED,white
JP45JEQ,white
AP05JED,white
XP05JEO,white
AP05JEQ,white
JP05JED,white
AP05JED,white
